1,84,11,14,3.05,4,78
1,82,11,18,21.08,3,43
1,86,10,18,7.11,5,57
1,85,11,18,18.03,4,52
1,85,12,16,2.03,4,47
1,84,11,14,0.00,3,40
1,83,10,6,20.07,4,65
1,86,10,8,16.00,6,60
1,81,11,10,4.06,4,86
1,83,12,10,5.08,4,106
1,81,12,8,0.00,3,62
1,78,12,8,0.00,3,104
1,75,10,13,2.03,4,113
1,80,12,10,1.02,5,114
1,83,12,8,3.05,4,112
1,81,11,8,0.00,5,119
1,83,12,10,4.06,5,64
1,80,11,10,10.92,5,109
1,82,12,13,7.87,5,103
1,81,12,8,7.87,4,105
1,81,11,10,18.03,5,87
1,88,10,8,11.94,4,112
1,78,12,8,0.25,3,87
1,76,12,10,0.00,4,90
1,78,12,10,0.00,4,60
1,82,12,8,0.25,3,51
1,81,12,6,0.00,4,68
1,77,12,13,0.00,4,98
1,76,12,11,0.00,4,88
1,80,12,10,7.87,4,78
1,76,10,11,8.89,5,94
1,81,13,10,0.00,3,78
1,79,12,10,0.00,5,83
1,77,12,10,0.00,4,62
1,74,13,10,0.00,3,83
1,82,10,10,7.87,4,43
1,83,11,8,13.97,4,67
1,79,11,10,0.00,4,109
1,85,10,10,0.00,2,48
1,87,11,10,25.91,4,48
1,84,11,8,4.06,5,96
1,82,12,8,3.05,5,86
1,86,10,10,10.92,5,72
1,80,12,10,3.05,4,95
1,76,12,10,0.00,3,82
1,84,12,10,6.10,5,66
1,78,12,10,0.00,5,90
1,78,11,11,0.25,4,85
1,83,10,10,11.94,5,59
1,81,12,8,0.00,4,48
1,80,12,10,0.00,3,51
1,80,12,13,0.00,5,77
1,75,12,6,0.00,2,84
1,72,13,11,0.00,3,106
1,73,12,11,0.00,2,100
1,74,13,10,0.00,3,66
1,76,12,13,0.00,4,80
1,75,12,14,2.03,3,75
1,76,12,11,0.00,4,63
1,81,11,10,0.51,3,58
1,81,12,11,2.03,3,78
1,80,12,8,8.89,4,89
1,75,12,14,0.00,3,85
1,71,12,16,0.00,4,73
1,78,11,14,0.00,3,54
1,83,11,11,21.08,3,46
1,87,11,8,0.00,4,61
1,84,10,8,0.51,3,57
1,82,12,10,0.00,4,68
1,74,12,10,0.00,3,56
1,73,12,13,0.00,4,57
1,77,12,10,0.00,3,42
1,82,10,10,0.00,4,35
1,76,12,11,0.00,3,84
1,79,10,10,0.00,2,92
1,82,10,10,0.00,4,63
1,86,10,13,0.00,3,73
1,85,10,11,0.00,3,65
1,77,11,11,0.00,3,74
1,76,12,13,0.00,3,74
1,78,12,13,0.00,4,74
1,82,12,11,0.00,4,68
1,82,12,11,0.00,4,49
1,85,10,11,0.00,5,53
1,78,12,10,0.00,4,66
1,82,10,11,0.00,5,62
1,83,10,10,0.00,4,67
1,78,11,13,2.03,3,77
1,78,12,11,0.00,3,56
1,77,12,11,0.00,4,43
1,79,10,11,21.08,3,56
1,78,11,13,8.89,4,66
1,73,10,13,0.00,3,72
1,80,11,13,11.94,5,73
1,83,9,11,99.06,5,55
1,74,13,10,0.00,5,79
1,80,11,11,24.89,3,44
1,79,12,11,0.00,4,50
1,81,11,10,2.03,3,50
1,82,11,10,8.89,4,58
1,79,12,10,2.03,4,60
1,77,12,13,0.00,4,85
1,77,12,11,0.00,4,84
1,79,12,13,0.00,3,78
1,77,12,13,2.03,4,75
1,79,12,10,0.00,4,58
1,85,11,10,2.03,5,70
1,80,12,11,2.03,4,58
1,81,12,10,0.51,3,59
1,81,12,8,1.02,4,50
1,82,10,10,23.11,4,80
1,80,12,10,1.02,4,50
1,82,10,10,12.95,3,38
1,81,11,13,6.10,3,53
1,77,13,10,0.00,5,58
1,73,12,11,0.00,4,80
1,78,11,14,0.00,4,50
1,77,12,10,0.00,4,45
1,80,11,10,0.00,4,57
1,84,10,11,38.10,4,64
1,82,11,11,21.08,3,79
1,79,12,10,0.00,3,61
1,78,12,10,0.51,4,50
1,77,12,10,0.25,2,63
1,75,12,13,0.00,3,63
